date,demand
2020-03-10,109.89833665577247
2020-03-11,115.22288340800405
2020-03-12,121.44276343434876
2020-03-13,113.95482093726639
2020-03-14,122.38302538904627
2020-03-15,101.93101418657142
2020-03-16,119.65265548424229
2020-03-17,116.53445183071729
2020-03-18,115.20193230454994
2020-03-19,117.79402690368482
2020-03-20,108.07477502076759
2020-03-21,117.6292654803811
2020-03-22,121.26409979313793
2020-03-23,127.65296320804977
2020-03-24,118.48912705322206
2020-03-25,117.88486622863043
2020-03-26,120.292984289299
2020-03-27,128.27837940350526
2020-03-28,126.26736004517619
2020-03-29,122.91704662207063
2020-03-30,129.0917170162084
2020-03-31,127.98479315009212
2020-04-01,133.3282887066957
2020-04-02,125.96917685995969
2020-04-03,128.84127882129206
2020-04-04,129.52198728755494
2020-04-05,125.16769322574528
2020-04-06,134.96542170761478
2020-04-07,135.783486766739
2020-04-08,135.48805834632802
2020-04-09,135.26182021572106
2020-04-10,130.31529848400118
2020-04-11,136.22866721444655
2020-04-12,137.53770099372665
2020-04-13,136.13628895376283
2020-04-14,140.21215707230758
2020-04-15,143.88185949621987
2020-04-16,152.1053889368466
2020-04-17,144.3278976533729
2020-04-18,145.4890094298122
2020-04-19,144.5391347115561
2020-04-20,135.98979280132846
2020-04-21,146.08403086929266
2020-04-22,147.1100343742481
2020-04-23,159.6755554934366
2020-04-24,146.90521411003672
2020-04-25,149.83886728291557
2020-04-26,148.57754106737988
2020-04-27,143.28315428162847
2020-04-28,155.17139494666267
2020-04-29,153.50299089345756
2020-04-30,153.94005525918737
2020-05-01,145.63546838555368
2020-05-02,157.35044015420584
2020-05-03,143.43863581280843
2020-05-04,153.45195620465327
2020-05-05,161.4992692998517
2020-05-06,145.58453550707227
2020-05-07,147.65839952609417
2020-05-08,150.9049686395156
2020-05-09,147.77217763065275
2020-05-10,142.38712310426195
2020-05-11,150.30434252884174
2020-05-12,144.44359555247152
2020-05-13,151.89158084526588
2020-05-14,144.67245141038637
2020-05-15,156.7452798875274
2020-05-16,144.7881792330737
2020-05-17,146.78857657401755
2020-05-18,152.14937180868824
2020-05-19,141.60174289088377
2020-05-20,148.56197272564035
2020-05-21,153.6263032360374
2020-05-22,138.71938758121826
2020-05-23,147.34947392615976
2020-05-24,147.4014800875155
2020-05-25,149.6961485735709
2020-05-26,139.29936020958132
2020-05-27,138.59387236482567
2020-05-28,147.53565078881644
2020-05-29,146.16110409946205
2020-05-30,145.70194591270783
2020-05-31,145.9805965530753
2020-06-01,140.67507404477558
2020-06-02,145.09354688378411
2020-06-03,145.28709515999356
2020-06-04,140.17379400814798
2020-06-05,153.03444243261916
2020-06-06,146.07262838987626
2020-06-07,137.7842205949051
2020-06-08,147.1014899332961
2020-06-09,139.06515391270037
2020-06-10,148.0366420658712
2020-06-11,150.10043848149743
2020-06-12,140.4544487011362
2020-06-13,149.6696747240095
2020-06-14,147.25634330603714
2020-06-15,149.68707163223542
2020-06-16,155.48953236485175
2020-06-17,145.25146597063497
2020-06-18,143.22598834660576
2020-06-19,143.1059699815429
2020-06-20,144.07497025740963
2020-06-21,148.40940943901302
2020-06-22,151.18062030914598
2020-06-23,151.57575778364856
2020-06-24,155.08145132004705
2020-06-25,151.79769072752552
2020-06-26,159.81938803578328
2020-06-27,152.0771927068308
2020-06-28,167.87750448568818
2020-06-29,158.30617679462196
2020-06-30,151.81569855456345
2020-07-01,151.6904997840325
2020-07-02,160.41790603491765
2020-07-03,157.86311704654048
2020-07-04,163.53676139026206
2020-07-05,163.32780035332723
2020-07-06,161.59789264356252
2020-07-07,158.7310866407443
2020-07-08,156.39343996432208
2020-07-09,162.73433657743453
2020-07-10,170.24178165599733
2020-07-11,168.0138289920172
2020-07-12,161.6860319605278
2020-07-13,169.736940413657
2020-07-14,171.7360956500387
2020-07-15,166.30815603994878
2020-07-16,172.39085504825235
2020-07-17,172.78240509324948
2020-07-18,167.6175962765325
2020-07-19,175.93215914752463
2020-07-20,177.7254774770869
2020-07-21,181.0807161828703
2020-07-22,181.64211665246
2020-07-23,170.1544781316037
2020-07-24,172.9839909893727
2020-07-25,180.83783320668908
2020-07-26,181.37923585573466
2020-07-27,181.89034875856967
2020-07-28,199.03996507466047
2020-07-29,183.0477836452211
2020-07-30,186.2436396164401
2020-07-31,185.66358730926
2020-08-01,184.4336184585712
2020-08-02,179.83894605340433
2020-08-03,185.40474336960278
2020-08-04,177.89697655720198
2020-08-05,180.68563489464117
2020-08-06,179.50996542849555
2020-08-07,182.37283497424366
2020-08-08,193.52444059575612
2020-08-09,172.5650585839636
2020-08-10,185.24719398926203
2020-08-11,173.63297208107474
2020-08-12,179.18573001649892
2020-08-13,186.8093316660128
2020-08-14,181.47782406307655
2020-08-15,175.534628136218
2020-08-16,177.09138257449177
2020-08-17,183.7906983530159
2020-08-18,176.44867097684414
2020-08-19,180.8763803927483
2020-08-20,179.7041850393237
2020-08-21,175.89213462628857
2020-08-22,189.53819420310654
2020-08-23,181.65391234486898
2020-08-24,168.0249442325874
2020-08-25,178.75275327885183
2020-08-26,174.18783109246556
2020-08-27,181.444612659349
2020-08-28,172.9178273597536
2020-08-29,176.01988302475658
2020-08-30,178.8495637816853
2020-08-31,180.4050921638865
2020-09-01,169.8497560387818
2020-09-02,173.97938936266135
2020-09-03,173.10594944883067
2020-09-04,172.07319492604458
2020-09-05,184.05878772576082
2020-09-06,177.18259119109229
2020-09-07,168.8157457169155
2020-09-08,179.7099384518043
2020-09-09,185.77134707111992
2020-09-10,180.4036211156096
2020-09-11,167.76709984125088
2020-09-12,173.10830755340095
2020-09-13,182.07319080251074
2020-09-14,172.45363413043748
2020-09-15,178.50897699639316
2020-09-16,180.50566398593992
2020-09-17,172.38513416848144
2020-09-18,177.1538951475033
2020-09-19,161.72092810024222
2020-09-20,173.3244449896673
2020-09-21,177.74521041033287
2020-09-22,173.37233655056437
2020-09-23,188.41684158212425
2020-09-24,173.7865596865914
2020-09-25,179.45691797040575
2020-09-26,183.0663855939257
2020-09-27,190.40837656586194
2020-09-28,176.84377741466758
2020-09-29,190.68955913946905
2020-09-30,185.8028232990701
2020-10-01,181.74686706418083
2020-10-02,189.88997295477273
2020-10-03,189.5194507859722
2020-10-04,186.48468673736033
2020-10-05,190.81051739836494
2020-10-06,189.52192368017228
2020-10-07,193.0113934171461
2020-10-08,196.7551496619007
2020-10-09,202.37766473901078
2020-10-10,189.2609917915643
2020-10-11,207.1141411971504
2020-10-12,187.68088495531276
2020-10-13,197.66525019724622
2020-10-14,202.33621549426732
2020-10-15,201.75480008976334
2020-10-16,198.17353554387338
2020-10-17,201.16289957905138
2020-10-18,200.63166598235821
2020-10-19,201.01718996410193
2020-10-20,209.0511671936075
2020-10-21,207.396919689314
2020-10-22,202.9234013727098
2020-10-23,211.62750201043033
2020-10-24,209.37117891660503
2020-10-25,212.56613786748125
2020-10-26,212.27759671689435
